data,temp_min,temp_max,vazamento,velocidade,rotacao,falha_hoje,falha_amanha
2007-11-01,8.0,24.3,0.0,30.0,1015.0,0.0,1.0
2007-11-02,14.0,26.9,3.6,39.0,1008.4,1.0,1.0
2007-11-03,13.7,23.4,3.6,85.0,1007.2,1.0,1.0
2007-11-04,13.3,15.5,39.8,54.0,1007.0,1.0,1.0
2007-11-05,7.6,16.1,2.8,50.0,1018.5,1.0,0.0
2007-11-06,6.2,16.9,0.0,44.0,1021.7,0.0,0.0
2007-11-07,6.1,18.2,0.2,43.0,1022.2,0.0,0.0
2007-11-08,8.3,17.0,0.0,41.0,1024.2,0.0,0.0
2007-11-09,8.8,19.5,0.0,48.0,1022.7,0.0,1.0
2007-11-10,8.4,22.8,16.2,31.0,1020.7,1.0,0.0
2007-11-11,9.1,25.2,0.0,30.0,1021.1,0.0,0.0
2007-11-12,8.5,27.3,0.2,41.0,1019.9,0.0,0.0
2007-11-13,10.1,27.9,0.0,30.0,1017.1,0.0,0.0
2007-11-14,12.1,30.9,0.0,44.0,1013.1,0.0,0.0
2007-11-15,10.1,31.2,0.0,41.0,1013.7,0.0,0.0
2007-11-16,12.4,32.1,0.0,46.0,1012.8,0.0,0.0
2007-11-17,13.8,31.2,0.0,44.0,1009.8,0.0,1.0
2007-11-18,11.7,30.0,1.2,52.0,1013.0,1.0,0.0
2007-11-19,12.4,32.3,0.6,39.0,1013.3,0.0,0.0
2007-11-20,15.6,33.4,0.0,33.0,1013.7,0.0,0.0
2007-11-21,15.3,33.4,0.0,59.0,1006.5,0.0,0.0
2007-11-22,16.4,19.4,0.4,26.0,1008.9,0.0,1.0
2007-11-23,12.8,18.5,25.8,28.0,1014.9,1.0,0.0
2007-11-24,12.0,24.3,0.4,26.0,1019.2,0.0,0.0
2007-11-25,15.4,28.4,0.0,33.0,1018.6,0.0,0.0
2007-11-26,15.6,26.9,0.0,41.0,1016.5,0.0,0.0
2007-11-27,13.3,22.2,0.2,39.0,1018.6,0.0,0.0
2007-11-28,12.9,28.0,0.0,52.0,1014.8,0.0,0.0
2007-11-29,15.1,24.3,0.0,39.0,1017.1,0.0,0.0
2007-11-30,13.6,24.1,0.4,30.0,1013.3,0.0,1.0
2007-12-01,15.1,20.4,22.6,41.0,1014.1,1.0,1.0
